"blogid","neurodiversity_cure_persons","video_show_movie","vaccine_vaccines_thimerosal","thank_words_miles","beauty_thomas_day","research_university_conference","back_bike_went","store_paper_house","dog_cat_animals","child_children_parents","know_girl_mama","book_read_reading","words_language_use","got_told_time","school_education_students","day_mom_family","time_get_know","genetic_research_environmental","brain_immune_cells","time_know_things","children_aba_treatment","christmas_music_joy","doctor_hospital_pain","church_country_war","kids_special_down","water_trip_car","wakefield_mmr_court","care_disabilities_disability","night_sleep_day","life_love_day","hair_fluffy_white","mercury_chelation_lead","red_blue_phone","post_blog_read","see_research_paper","children_canada_government","food_eat_eating","feeling_sad_tears","people_person_human","study_children_data","little_today_kids","science_article_david","should_point_fact","school_day_kids","research_services_committee","little_down_room","disorder_spectrum_disorders","money_work_job","community_speaks_awareness","police_story_news"
1,0.00142525225836828,0.0095938335760147,0.00181684032058356,0.00237180602175653,0.279425720145608,0.00508382241363773,0.00226615925516431,0.0280233769487573,0.0133141112468939,0.00941622024773259,0.00458564432434278,0.00766987961141266,0.00692428727389581,0.0440466396416175,0.00448397517026409,0.019800082240235,0.176419065162051,0.00170904788288142,0.00175123672747511,0.00877948388055439,0.00141679814742479,0.010972357992871,0.0156636690922614,0.0193787202268639,0.00205729167947978,0.0304620563725702,0.00101742664698609,0.00467127168982593,0.0246147178428419,0.031685197718524,0.0158710125889925,0.00164952347468015,0.00405109079369174,0.0101348080570555,0.00189390024222677,0.00492874765840062,0.0213700231559916,0.0158769434628664,0.0111731813218877,0.00389443684642607,0.00739933435984431,0.00491693663119407,0.0498854371945347,0.00871905881821505,0.00258596011284387,0.0336387555460244,0.00155648213761096,0.0110396805285757,0.00329627195568773,0.0152724233543536
2,0.000816405951414242,0.00780593875521019,0.000281107030452611,0.00133544069588245,0.0023390374936372,0.0027303597573601,0.0022647231451905,0.0143522778382791,0.00427165988182701,0.00792127597980515,0.208790391473889,0.00610627239702105,0.00924087989925537,0.0904677369008884,0.00411890638787776,0.0193501966737115,0.147008257234216,0.0003399813046073,0.000375692036841661,0.062613702178896,0.00151440455674265,0.00749227379305604,0.00418849565695294,0.00567570325116946,0.00131985707202043,0.0161964707548042,0.000307714665976385,0.00155665329004454,0.00952814853453771,0.0590805202344384,0.0115335731460477,0.000242104486348958,0.00208039987533047,0.0199296159540481,0.000331791029919654,0.000534963013860353,0.00834366839826746,0.0294316637220754,0.0250007772411125,0.00112350765861688,0.00769188492141582,0.00204639294852619,0.0574193729726495,0.0163860380723758,0.00503194916875754,0.084169721205872,0.00206273770646236,0.00426317682098176,0.0173912440674839,0.00559493276384159
3,0.00188742850810013,0.0109459148745781,0.147292455923015,0.00175868000961433,0.00193115182898933,0.0389506462292033,0.00143977064366731,0.0068838939096121,0.0031183039643137,0.0213795393613618,0.00338992020408028,0.00568214845569039,0.00675422144480683,0.043465707611301,0.00576502706635163,0.0180326165994426,0.119697903006086,0.0128291099797988,0.0243275454411536,0.0147154848409981,0.0108368069763433,0.00285814383037455,0.015764602520611,0.0128661258675298,0.00341955444581448,0.00945298474228626,0.0149981809190574,0.003588114670269,0.0085434502868707,0.0241090543069074,0.00415364316201264,0.0368829248723989,0.00376526301923172,0.0197587130657278,0.00551511068355766,0.00398305588510387,0.00753547044224775,0.00782034657424337,0.00934272603065493,0.0261580763405613,0.00581600257085649,0.0460621473088268,0.0909518248196941,0.00933780755308759,0.0381690535915902,0.0206593452919577,0.00716636255646765,0.0204571366825397,0.0250093815474127,0.0147711195335993
4,0.0293996460443383,0.00329576332614863,0.0166227627382534,0.000738880752540234,0.00219463353389665,0.0106807476398825,0.000504475676394972,0.00444515326118952,0.00270009894343074,0.0200728285917618,0.00161756722809767,0.00554277417459668,0.0210122567122581,0.00915176815483706,0.00483004876543698,0.00304504297820219,0.151633969146964,0.00883524447694162,0.0285840569315658,0.010095437844808,0.06236263253423,0.00226295386235788,0.00270858324178889,0.0163075236430187,0.000825721857278568,0.00845925146611426,0.0233338749002081,0.0030170621245144,0.00289651707242931,0.019003094973664,0.00379969156165395,0.033968623563414,0.000391352326348941,0.0112187714079263,0.00213360675277274,0.0112362459990009,0.00165137190443209,0.0061042319983185,0.075326011412637,0.0185539764321368,0.00479158103652055,0.0782078581354689,0.20411031460597,0.00371895295901551,0.00335349448429921,0.00483677763203126,0.0213342569443162,0.00698527144443851,0.0208655356303416,0.0112317011718088
7,0.00121344611939824,0.00771189978691531,0.00102266460350328,0.000941861711499066,0.00148504167636934,0.00409621355548544,0.518261175326484,0.0185995915584134,0.00444812698895137,0.00789053314300845,0.00206612168900269,0.00791193359919514,0.0219628268643045,0.0251507433848336,0.00762724922780583,0.0129853161337329,0.0714390234098627,0.00114944928240294,0.000597065484214437,0.013022564608217,0.00299035021839436,0.00811238822995108,0.00822552873669554,0.00370317057593114,0.00182100547067202,0.0326030445159442,0.00069799935239995,0.00165716445638698,0.0140860402861635,0.0166297554798303,0.0091047627471921,0.000591632095057794,0.00139170939386501,0.0067981557484153,0.000765237576682834,0.000884285436948728,0.0136310497909297,0.0122208492808964,0.00581557433857621,0.00244354631979792,0.00312647103853922,0.00202571918275824,0.0392950254653023,0.0214993246745878,0.00146868996121745,0.0478326672884816,0.00277054461621321,0.00338213560740617,0.00250226008744194,0.00234106387372083
8,0.00127401144911366,0.00513075838005924,0.00123004212934103,0.00089231953987917,0.00619464455001933,0.000641077887205131,0.000437948947295912,0.00444614034737195,0.00209445965127663,0.0712716571890277,0.00438456054905662,0.0064217252558135,0.0212249018042632,0.0435868968873983,0.0273521498291589,0.00757466593117604,0.192364678898383,0.00347679435716365,0.000147107809136569,0.072077925203705,0.00812089134864633,0.000785176198973015,0.00494666792858927,0.00111297864579978,0.00131403109010508,0.00565917181473195,0.00345262070074992,0.00707643509393466,0.00613070833803715,0.0225187391318625,0.0023936914798633,0.00063789705544758,0.0015853125062857,0.029331040103792,0.002407986374136,0.00599149215549308,0.00207295137567485,0.0164247993400588,0.0813273055210655,0.00628946804487821,0.00282315522529902,0.00945348840339088,0.20483406104587,0.013584259246627,0.00322908953336943,0.022410361800869,0.0266932481911212,0.0129401908952015,0.00828632321877011,0.0139419915955126
12,0.0324902126102965,0.00828030585932689,0.0232554277350226,0.000952357528727007,0.00185157551330434,0.0239180616526384,0.00397041906791421,0.00473966761571681,0.00160726628484135,0.0241035892646234,0.00186877093154101,0.00483575109240581,0.00753922153087354,0.0216840070407765,0.0199776616189012,0.0194488660189645,0.0762939653484375,0.0327881867262088,0.0135957691278835,0.0142388888286608,0.0450525387892811,0.0026485647691821,0.00923338956315039,0.00420929905471887,0.00163562719641605,0.0216006089498423,0.00561549456053691,0.00510784649887042,0.00629379006637133,0.0173367231616373,0.00430555619139143,0.00434892372391854,0.00159736414164186,0.0106893123688023,0.00183288672227662,0.179219171024454,0.00290277344714778,0.00782105696680251,0.0130244064700883,0.0269225225464163,0.00277110795776039,0.0185090791310857,0.101376050164495,0.0103759841597988,0.0148053092724541,0.0144440037580789,0.0739250848875692,0.00680964341270188,0.018883589564501,0.0292623200815434
13,0.0186155939887254,0.00261083023229608,0.0323244434829004,0.000878204239888869,0.000494911763396565,0.00739824683027566,0.00041108198834321,0.00312311593177641,0.000935788528756905,0.0177901726746155,0.00165999857361781,0.00346334972734436,0.0131529636605846,0.0190406021215681,0.00390574569589042,0.00523522596274822,0.180994220895302,0.0546942362879819,0.0363283954356747,0.016433667920716,0.0329569070208414,0.000990157179751315,0.00719492536374304,0.00227169912738144,0.00139898786371621,0.00403683379405757,0.0213823568015823,0.00119136286458219,0.00623974783935796,0.00773589555412634,0.00273986192299911,0.0157915421963712,0.000860544542371209,0.0157481570829078,0.0287550326587649,0.0013970483520021,0.00497507990411355,0.00407564896535083,0.0323761027263287,0.12345702858503,0.00247226993571815,0.0384706353656945,0.153414717432405,0.00211662403207727,0.00893021631916723,0.00589052431824598,0.0264032120562746,0.0073290775718124,0.013504029324431,0.00640297735639137
14,0.0371796109491637,0.00203393856080239,0.00920339136053032,0.000397198734109405,0.00103611612351368,0.00471838493038596,0.00178939200884541,0.00455347115864174,0.00182550642746562,0.0137846326586853,0.000836724984317085,0.00462406097443054,0.00564561220120713,0.0139001464298722,0.00361143993859065,0.00438107145241563,0.129679128771868,0.0192032038697645,0.00334467279327349,0.00894673956503375,0.0347369805566544,0.00064446393414274,0.00655749054989154,0.00638869451932884,0.00153301297671462,0.00423446192980709,0.016371201776945,0.00621652689048519,0.00255109516832387,0.00602027795388174,0.00167010084343001,0.0258442382512891,0.000477558971192099,0.0208512120316865,0.00397314285321808,0.00113253242013619,0.00227733095834546,0.00307120916342159,0.0426109447288046,0.252340999539375,0.00169880524767869,0.0655079610839964,0.156635689311573,0.00164012643380227,0.0010362089948171,0.00392090041789829,0.0334846741810519,0.00812011020777937,0.00611910640233841,0.0116384978090746
15,0.000737938655582695,0.00980790207498534,0.000864439964588476,0.002137685139239,0.00370392827581681,0.00172115604145539,0.0040179480093651,0.0154142032443666,0.00449659006017887,0.00552475329751776,0.00407959704698853,0.0055661249640947,0.0156635567682824,0.0907504739348857,0.00219654721752669,0.152753826447865,0.230808745464525,0.000371822699580586,0.00449266165044131,0.0175173002740763,0.00323544056433081,0.0034450170821396,0.019549922002624,0.00428794833949575,0.00139087320161044,0.0256470460174873,0.00068827606460562,0.000963126821813565,0.0167942333865964,0.0238151751448511,0.00713254501720079,0.00125368553150287,0.00991337033559878,0.0154861680930758,0.000621405545567226,0.00145997930900169,0.0227445357442074,0.0272333728132329,0.0040958300475778,0.00235590045869971,0.0145305478766671,0.00131137357820181,0.0340215566504377,0.0418305909874924,0.000858281600556016,0.133497721507899,0.00264474913938721,0.00285880032048807,0.00108940268142869,0.0026159229048611
