"blogid","year","neurodiversity_cure_persons","video_show_movie","vaccine_vaccines_thimerosal","thank_words_miles","beauty_thomas_day","research_university_conference","back_bike_went","store_paper_house","dog_cat_animals","child_children_parents","know_girl_mama","book_read_reading","words_language_use","got_told_time","school_education_students","day_mom_family","time_get_know","genetic_research_environmental","brain_immune_cells","time_know_things","children_aba_treatment","christmas_music_joy","doctor_hospital_pain","church_country_war","kids_special_down","water_trip_car","wakefield_mmr_court","care_disabilities_disability","night_sleep_day","life_love_day","hair_fluffy_white","mercury_chelation_lead","red_blue_phone","post_blog_read","see_research_paper","children_canada_government","food_eat_eating","feeling_sad_tears","people_person_human","study_children_data","little_today_kids","science_article_david","should_point_fact","school_day_kids","research_services_committee","little_down_room","disorder_spectrum_disorders","money_work_job","community_speaks_awareness","police_story_news","posts"
12,2007,0.0233157633851485,0.009377839717979,0.00966732700525845,0.00115856349934982,0.00211857004308273,0.0358990014397646,0.00224626909562927,0.00499026426037855,0.00178522846903227,0.029813954937238,0.00162588048657872,0.00808724667762069,0.0106357491030233,0.0195370907865095,0.0229101317614336,0.0165418963135834,0.0741851758360646,0.0232171954833498,0.0201875695434985,0.0162199024861787,0.0652378731366372,0.0030773657168636,0.00562109618068297,0.00497879860094868,0.00140726090359386,0.0144304944175561,0.00583371979064898,0.00652790113891843,0.00501418387411573,0.0182607246635599,0.00428491834323812,0.00765007418398721,0.00154399284835752,0.0106048285282258,0.00222837645069302,0.19302141243742,0.00290932056927643,0.00785402025883067,0.0157707818189179,0.0273050481595932,0.00208571946535752,0.0119476071558959,0.101209813537881,0.00800991450521891,0.0170526958444793,0.0160501138258096,0.0319324565582943,0.00995578355598393,0.028345451246264,0.0363276319520481,562
12,2008,0.0262921031283484,0.00824849883160642,0.0123991562343552,0.00122923046708266,0.00222037410101201,0.0275154691338326,0.00598480136263258,0.00674617058609809,0.00250024688548874,0.0250141958799202,0.00328189545455605,0.00495252116513762,0.00986352518771558,0.0230474753217602,0.0127826148804199,0.0228477077917355,0.0776216845441432,0.030634961297405,0.0165682447335738,0.0165807938441099,0.059123675649111,0.00280423887649053,0.00657339680721053,0.00465028339960231,0.00303272464790199,0.030213465294225,0.0028877983090412,0.00715685125244585,0.00742429119899671,0.017170184974031,0.00577702745461984,0.00543457615214032,0.00333571602170161,0.0155006226919772,0.00222079952687009,0.184785723196718,0.00424627643655511,0.0101173596155427,0.0133104354160142,0.0213328965812506,0.00586085225654735,0.013107430055391,0.0864331549831892,0.0149010562513205,0.0176244659240426,0.0178244406376583,0.0365587697915224,0.00562382160724583,0.0206132569241841,0.0380227372355192,438
12,2009,0.0654610207815224,0.00923462950185047,0.0779712922071774,0.00107267961932223,0.00145124227588594,0.0170397477729048,0.00563001845462592,0.00431712495465787,0.00141321715851588,0.0192746250438682,0.00165739168167422,0.00225659368887662,0.00736288159780835,0.0177417126010013,0.00591510328798658,0.0175574247059635,0.0833550399515209,0.0372745163985551,0.0116860441387545,0.0132610934730088,0.0420005272991106,0.00235200251895391,0.00502497232714286,0.00663110885763219,0.00136578006823112,0.0318196293475142,0.00818864000578956,0.00129830026578301,0.00788893448372552,0.0170909583318171,0.0052284986024337,0.00518784611124574,0.000936734338634306,0.00994137093049615,0.000688834241930315,0.0955140733512302,0.00334811996044741,0.00682880353050556,0.0152703488896151,0.0306278234362752,0.00252696579847528,0.0421661445299342,0.10097931800809,0.00953413245287539,0.0178311358111667,0.013438746891089,0.0718716824605252,0.00497582251860717,0.0173839729081098,0.0211253724271328,396
12,2010,0.0549247980796987,0.00752424635121618,0.0289736156622701,0.000426270166359102,0.00171898093173596,0.0148505337729799,0.00776870348254156,0.00528975503407566,0.00181120413281507,0.0191272155417706,0.00148105073848509,0.00450323843636567,0.00397046236842432,0.0290712724188228,0.0207023102853891,0.0224987546338932,0.0710552576570398,0.0554199728286113,0.0173960702182281,0.013696795999386,0.0211642006558873,0.00304986015289774,0.00244953316004169,0.00359869897925001,0.000747383916275029,0.0242144385918107,0.00468627748946703,0.00490717615280368,0.00323870432951922,0.0186670708137877,0.00485416572516454,0.00283476940984056,0.000812049541982201,0.00996499943608623,0.000623279203868261,0.137749102392419,0.0025140133817381,0.00588273959450292,0.0120425134032113,0.0339269336052572,0.00225395474972746,0.0200541759331158,0.106438677397333,0.0137084268628062,0.00807049800439386,0.0112484964448912,0.116063926784837,0.00375548018142736,0.0138267149920096,0.0244412299735399,248
12,2011,0.0220962093079174,0.0122165774016854,0.017978919378793,0.000649748780882092,0.000444409924758717,0.0179842262360266,0.00287103455364787,0.00321865267996791,0.000908464131532817,0.0312394574404236,0.00124905595651225,0.00358349366113131,0.00645117986775742,0.0199243387149074,0.0084931351917821,0.0154689337710436,0.0727143162438733,0.0531831950839047,0.008693421360037,0.0126904503726501,0.0299939070193245,0.00168637157627971,0.00500666824994613,0.00269919191160446,0.000735056965297719,0.0152276964022135,0.013713248144629,0.00433794020494527,0.0056955571297041,0.0194439693733879,0.00355065616275103,0.00166850523318065,0.000649281050451341,0.0127946464046526,0.00161796817137637,0.156072998410611,0.00168095027610196,0.00831157196533423,0.0109552591953925,0.0259040398087397,0.00159655548823945,0.0224583904728822,0.115181392957278,0.00449899937622029,0.0140543489851821,0.0120896436238347,0.142307616817854,0.00748086674725765,0.0086773369179748,0.0378501448981184,219
12,2012,0.0214037705423043,0.00610633091942477,0.00569738620728972,0.000432712410377926,0.00128166550561534,0.0241198752202619,0.00258021815511953,0.00222216325152284,0.000440209551909391,0.0186048150175346,0.000796146438429405,0.00353595298351036,0.00315543959488014,0.0241567584139372,0.0587027142368194,0.0234208013751967,0.0709390036954526,0.0390097716035624,0.00717394387240632,0.0146010262098072,0.0366199401985807,0.00032825028617288,0.0097422901035342,0.00190133033578418,0.00188127203860409,0.0199019991249578,0.00273375467168333,0.00236032365659818,0.00460596841797433,0.0124423118568243,0.00307430800643796,0.00170214716215766,0.000338567748969538,0.00567742308795583,0.00287791615889226,0.166329539109194,0.0031452076211554,0.00693703091037273,0.0122189220358136,0.0324100933509709,0.00173777703003571,0.0173581580499033,0.122382702080642,0.00509570018341402,0.00742444429396041,0.0136743370337854,0.140307808125716,0.00512584782518937,0.0117877087952247,0.0194962154941328,151
12,2013,0.0214964963914261,0.0079359864607258,0.00227168005911332,0.000247185828343332,0.00143080948118682,0.0171320708649575,0.000635795012929349,0.0025859211118048,0.00176029286460217,0.0290867444760384,0.00233102700321344,0.00721836970580125,0.0057384031555204,0.0222345073215375,0.0217870877584288,0.0293928595315295,0.0819039416175739,0.0108047829358454,0.00592508523314621,0.00863541808112895,0.0133337323423344,0.00486966356452065,0.0422123903873046,0.00107642988896253,0.00106140301342603,0.0155643684961342,0.000575758338903695,0.00852550851851537,0.00933861603023441,0.0199055926099116,0.0022276088528446,0.000124315371139534,0.00194057163453743,0.00599263006031601,0.000764776983149899,0.183209365105937,0.00154940364266393,0.00928334331420733,0.0159746191201036,0.0251746524667589,0.000918635207442141,0.0126618213009187,0.107499373939455,0.0106931899902663,0.0048807762397239,0.0138801601337346,0.155294121812822,0.00380316726678934,0.0276665858356376,0.0194429536364522,115
12,2014,0.0207078196496079,0.00203288194018344,0.00273120256205128,0.000718370448407216,0.000548630827087162,0.013143216344479,0.00117524058108967,0.00483126334852776,0.000546532881023925,0.0181418722393883,0.00221813340786412,0.00296076182853855,0.00494571032644674,0.0211948064623092,0.0178913199558444,0.0235166295803334,0.0706577162295572,0.0217122892698805,0.00443878932095076,0.00857879370413325,0.0424604873004309,0.00093230762195737,0.0299573652389427,0.00228086774754485,0.00379462040603677,0.0163130962780494,0.000143547603676978,0.00589442329110626,0.00848653420169499,0.018857449161864,0.00145874764968267,0.00093503281887742,0.00345308330675086,0.00636501524061134,0.00280455082016305,0.279228604992928,0.000637152134639867,0.00598711312496513,0.00511436875093357,0.034387217197887,0.00172844666638423,0.00327781702481773,0.0970235263974334,0.0152229802501041,0.0127198768181041,0.00719492686110787,0.113563326935722,0.0119325953660457,0.0127720663902363,0.0123808714935982,102
12,2015,0.00686511682457139,0.00415995855455617,0.000274264672882717,0.00202735275027497,0.0030478173085156,0.0111052262561939,0.00232594456616037,0.0033543884812729,0.00207946358841877,0.0102423107571728,0.0011330412522735,0.00173330694805894,0.00309419786693155,0.0269330556076858,0.0118583432887328,0.0120937491671574,0.0771685154488769,0.024506552298244,0.00806167785228069,0.00558427230396872,0.0202598880446067,0.00159839126091509,0.0421145562144265,0.00042734829029046,0.000630866151509965,0.0192068174280794,0.000185171527891648,0.00827719764342061,0.010095744702527,0.0186804057606182,0.00139320217076116,0.000182462656419176,0.000674176223772139,0.00902370061696632,0.00311142701725242,0.419378241067865,0.000821904589478086,0.00853715117344483,0.00358372740982117,0.0162664909597944,0.00131425273018125,0.00251569973537868,0.0969875909780257,0.00593171856823222,0.00283940400880585,0.0182128182360316,0.0410680899135882,0.00779411702622482,0.0140131507991778,0.00722573130026406,54
13,2009,0.0217843174964609,0.00100978190346868,0.0441182592971747,0.00206722809631173,0.000483088598543618,0.00982639366820111,0.000425194860043692,0.00390014330133892,0.00118612352477472,0.0151521579564553,0.00319631618626942,0.00585069567488433,0.0119094841453516,0.02178824104184,0.00307620468445404,0.00897101977170563,0.182851543543881,0.0530685017142333,0.0352643245384853,0.0134464853094797,0.0505991757110051,0.00173110660360631,0.00887800674614696,0.00198252324336691,0.00124877469048626,0.00349468021128983,0.0219135183218948,0.000636303670680435,0.00473572288356203,0.00562514900611399,0.00311069880087074,0.0206075112711122,0.000935309061067572,0.0222425276598196,0.0280315448716943,0.00281051095803645,0.006926303963456,0.00398548227419619,0.0218812081283438,0.0971435621480537,0.00222415278333982,0.0433704141299915,0.154563874018272,0.0022574249602553,0.00862380982893892,0.00740562299913622,0.012494052239734,0.00778243163124594,0.00966894796725951,0.00371414390366577,133
13,2010,0.0282434031963798,0.00239388391893764,0.0380399367216697,0.00032329213665298,0.000547508387078475,0.00420284512006094,0.000308969869144702,0.0025502359586553,0.000862877757546017,0.0199698383334612,0.000723575960517903,0.0028824132536978,0.00713150444235513,0.0188434032808035,0.00549806627201953,0.00291009529666685,0.185732586747403,0.0392493160512853,0.0231266935853259,0.0217145975081339,0.0333022367621563,0.000526403772445494,0.00431388949949026,0.00264043267638744,0.00143373371650469,0.00439688629807185,0.0239775280007273,0.000497574936365103,0.00874836542810726,0.00935456544493463,0.00256860787031939,0.0226753612879819,0.00106737074100419,0.0172546420399378,0.0220889144465716,0.00116866297881027,0.00312352925116699,0.0050780383541571,0.0440712268567202,0.113055784139063,0.00184031626946227,0.0464159559631364,0.157698374977607,0.00133491816651685,0.00541484703925045,0.0062409955352839,0.0311066974597924,0.00575807974420681,0.0104913611861716,0.00709965535985442,116
13,2011,0.007069185914451,0.00515538156858876,0.0165982356885408,0.000213595304412215,0.000545546700931745,0.0113567592152759,0.000550760729699478,0.00302115814159504,0.000794381751018624,0.0196611097941248,0.00127603833088297,0.00185141543576766,0.0127854619443203,0.017707177549163,0.00270285481487997,0.00372449909600514,0.172226809806468,0.0676422100481463,0.0338814843731147,0.0112006220672041,0.0239592463966686,0.000700064824326264,0.0118480861416405,0.00343213218482331,0.000324136766887889,0.00541265951155153,0.027960698879354,0.00345318934355922,0.00750443692858322,0.00715496170714416,0.00253990094392439,0.00318239586489688,0.000702999262789654,0.0101097229321975,0.0366898257557649,0.0003114946925532,0.00455412340241316,0.00326589030481067,0.027969047891969,0.161073107154731,0.00197700484607453,0.0352078092882531,0.141726252930686,0.0030115100694933,0.016231658402586,0.00350775968695351,0.0326132487174331,0.00417973654339502,0.0179746961852639,0.011457514164682,89
