"BUNGALOW",6.13
"BUNNY ",6.0164
"BUS ",6.5082
"BUSYBODY",5.17
"BUT ",1.6066
"BUTCHER",6.27
"BUTTER",6.35055
"BUTTERFLY",6.6019
"BUTTON ",6.0656
"BY",1.6721
"CABIN",6.47
"CADBAGK ",6.1475
"CAGE ",5.8033
"CAKE ",6.3934
"CALL ",3.6066
"CAME ",4.27045
"CAMOUFLAGE",5.2
"CAMP",6.57
"CAN ",3.8197
"CAN'T ",1.8689
"CANDIDATE",4.67
"CANDLES ",6.541
"CANDY",6.41335
"CANE",6.43
"CAP ",5.6557
"CAPACITY",3.4
"CAPTIVE",5.27
"CAR",6.81205
"CARAVAN",5.83
"CARDBOARD ",5.8033
"CARDS ",6.082
"CARE ",2.9344
"CAREFUL ",2.918
"CAROL ",4.7377
"CARROTS ",6.623
"CARRY ",3.7377
"CASEMENT",4.63
"CASH",6.17
"CAT",6.76885
"CATCH ",4.377
"CATERPILLAR",6.57
"CATHY ",4.5902
"CATTLE",6.4
"CAUGHT ",3.8361
"CAUSALITY",2.9
"CBOSS ",5.377
"CELL",6.47
"CELLAR",6.27
"CENTENNIAL",4.1
"CENTS ",5.1311
"CEREBRUM",4.83
"CEREMONY",5.37
"CHAIR",6.63465
"CHALK ",5.9344
"CHANCE",2.5
"CHANGE ",3.2787
"CHAOS",4.57
"CHARLATAN",3.43
"CHARLES ",4.0328
"CHARM",4.7
"CHARTER",3.83
"CHASM",4.47
"CHEESE ",6.2459
"CHICKEN ",6.4754
"CHIEF",6.07
"CHILD",6.5
"CHILDREN ",6.2607
"CHIMNEY ",6.1803
"CHIN",6.43
"CHLORIDE",4.2
"CHRISTMAS",6.50575
"CHURCH",6.5281
"CIGAR",6.8
"CIRCLE",6.23
"CIRCUIT",4.97
"CIRCUS ",6.377
"CITATION",3.57
"CITY",6.43
"CKY ",5.2459
"CLASS ",5.5574
"CLAW",6.33
"CLAY ",5.8197
"CLEAN ",4.4918
"CLEANNESS",4.77
"CLEAR ",4.1475
"CLEMENCY",2.9
"CLIMB ",4.8525
"CLOCK",6.5369
"CLOSE ",3.4918
"CLOTHES ",6.3934
"CLOTHING",6.17
"CLOUDY ",6.1475
"CLOWN ",6.3279
"CO-OPERATION",3.4
"COAST",6.13
"COAT ",6.4918
"COBBLESTONE",5.87
"CODE",4.53
"COFFEE",6.73
"COIN",6.5
"COLD ",5.4754
"COLLEGE",6.2
"COLONY",5.1
"COLOR ",4.6721
"COMB ",6.0328
"COMBUSTION",5.1
"COME ",2.8197
"COMEDY",4.9
"COMFORTER",5.03
"COMMITTEE",5.03
