"blogid","year","beauty, thomas, day","school, education, students","hair, wear, blue","life, years, day","love, thank, words","today, get, good","child, children, parents","children, treatment, therapy","back, got, little","store, buy, box","people, care, disabilities","test, information, important","dog, fluffy, cat","wakefield, mmr, vaccine","back, bike, car","should, believe, fact","people, disability, neurodiversity","people, world, human","speech, therapy, language","team, game, run","water, car, trip","people, social, behavior","study, children, data","police, mother, story","kids, mom, kid","research, health, iacc","ipad, use, computer","show, film, movie","act, bill, health","conference, blogher, san","food, eat, eating","down, baby, head","blog, post, read","brain, genetic, mercury","children, canada, treatment","know, people, time","see, research, paper","time, get, know","sweet, garden, trees","school, day, kids","birthday, party, year","down, syndrome, post","book, read, reading","disorder, spectrum, diagnosis","love, god, day","doctor, hospital, pain","night, house, sleep","music, song, post","science, vaccines, david","vaccine, vaccines, children","posts"
1,2007,0.255298789222843,0.00787391385566904,0.0275394043052341,0.0345446952416404,0.00270169830605613,0.0119621905995569,0.0115860580668274,0.00218575571605624,0.0559681707486268,0.0173433318942818,0.0138196216165469,0.01199282174806,0.0157491845028497,0.00188141058264116,0.00264138393447604,0.033572686116641,0.00305801880624689,0.0141508456387461,0.00728522861124822,0.00239806428045424,0.0327307796992723,0.00963815719296793,0.00504803020071767,0.0158517293782911,0.00487715160734636,0.00209336040477187,0.00456768222913273,0.0209237971641643,0.00867081917086114,0.00161421805810157,0.0154868053163986,0.0110628886923007,0.0138602332597772,0.00386728709871875,0.00333735562708855,0.0860645084231274,0.00247488975366468,0.101654821861291,0.00777388815307233,0.0117076353783705,0.0186918935629223,0.000577570069828537,0.0065085851494611,0.00241878309637317,0.00679083094385094,0.0206205502546281,0.0355742783173799,0.00640243107187774,0.00202816955670246,0.00352759551283654,378
1,2008,0.301163499280368,0.00371967746509987,0.0398641239667193,0.0236559073702817,0.00195969637691427,0.0155029645531148,0.00806583754523484,0.00119262211268979,0.0495848087474405,0.00940079177202522,0.00682980666176456,0.0108485325809959,0.0117699600712483,0.000580983632182164,0.00156604984877165,0.0214628542666741,0.00293531618238378,0.00439985025728507,0.00471029104860472,0.00324846783893161,0.035728642403446,0.00651317393051,0.00258531590715871,0.0133791102565321,0.00496134810583501,0.00194299133548844,0.00408851301028166,0.0208533246373203,0.00206151872380916,0.00069263797769654,0.0278514074070003,0.0170324627685765,0.00930745815100923,0.00114453159897428,0.002878381707141,0.0763322019104639,0.0017247482268354,0.11399927964028,0.0112360833682663,0.0124726790973128,0.0189607197969877,0.00169131658480821,0.00753640337675411,0.00359307368219218,0.00581056817484,0.0168861763963337,0.0468081632044826,0.00491132142594583,0.00293055481515284,0.00162385079983474,116
1,2009,0.309376587410726,0.00210145197123382,0.0284960573879414,0.0388460065336454,0.0016376801067783,0.0167811374098918,0.00274837647604774,0.00301783549159523,0.0373995911293667,0.00705127689173648,0.000908923102759986,0.00920552903202907,0.0130837387063539,0.000218639242154375,0.00716822876358176,0.0292167685228283,0.00176268796875253,0.0121219377510951,0.0035380980648285,0.002790404195228,0.0281539981440956,0.0062026797372245,0.00280770383124964,0.00657481649862993,0.0029031243824837,0.00126154062510742,0.00135661009715657,0.00628110324017136,0.0018644375805378,0.00218218989008348,0.0299188791718024,0.0220929111777363,0.0121938707971775,0.00254834900647047,0.0018335249054915,0.117132981624567,0.000955154505277974,0.102209204407032,0.00944449045849527,0.0146594952338566,0.00931709731959298,0.000362785645543197,0.0073829840747705,0.000968958521026211,0.00694180680917985,0.021906393067451,0.0412132233968154,0.00965746982579098,0.000878397911927128,0.00132286195468092,47
1,2010,0.236021762891514,0.00045247403108114,0.0300151736016837,0.0738714132274676,0.00152902450158062,0.0155672517642464,0.0122637806889534,0.000215493743976956,0.037555752119319,0.00246541740207909,0.00755018644153586,0.0152692781580585,0.00853092835989216,0.000140233897816278,0.000366758915858188,0.0341972549812358,0.000666577726335251,0.0147605537294391,0.00170210265208872,0.00040470659378173,0.00943864142147315,0.00623041280147872,0.000934568881808982,0.0172304392985696,0.00121012216732922,0.00033421124117251,0.00237896043463086,0.0044421821394776,0.000433974993209718,0.000349948528927631,0.0275307583418428,0.0289128624529979,0.00753237702529642,0.005152063550832,0.000466035223837285,0.0936482307467575,0.000337241326606794,0.144127345425364,0.000780629051653864,0.00787373078604958,0.0153386158082569,0.000133597878245993,0.0362736852763095,0.00251925458093489,0.0093207566443151,0.0222532343882993,0.052428110247636,0.00812164283841296,0.000513300494403553,0.000206940575926971,26
1,2011,0.205237792421441,0.0106474981502502,0.0164592525838625,0.0382830932378102,0.00204665254233239,0.0026237133599868,0.0192993437021014,0.000303169538228013,0.0445853990851402,0.010665816350474,0.0328113140400181,0.0104026161118728,0.00798552768859505,0.000197289467713836,0.000515978464663104,0.0272149722115733,0.000506876991267249,0.0105612572116689,0.0115339842199678,0.00169805614117251,0.0115791413131477,0.0117186967915029,0.00445940825554189,0.0543900929239378,0.00222378730119508,0.00453018907230295,0.00191033050478168,0.0109288435840893,0.000377026624452939,0.000234316864208708,0.0228019460976389,0.0035842393130561,0.00212771640044519,0.00123560838593021,0.00505465785830057,0.122260047150095,0.00458588740568614,0.0967823072498844,0.0028435127735186,0.0122421885995905,0.0794680114584007,0.000187953516926279,0.0031798517950371,0.000423066181822873,0.0019841424427057,0.023163362082913,0.0522758475668771,0.00742516409112083,0.0021519164469057,0.000291136427845106,20
1,2012,0.242972268172995,0.00445791060721299,0.0419548266000696,0.0108076388443405,0.00083795008062212,0.00333474172657905,0.0110072188482445,0.00514835384427761,0.0463368296564881,0.0239989625962087,0.0135835718046663,0.00983922805335904,0.00316452656015572,0.00180270639736864,0.000832033995837633,0.0233671647719694,0.000817357539752382,0.015798866966031,0.00203814259955199,0.000485568996506056,0.0352973173824103,0.00389325666755938,0.00083661512021428,0.000572344738926383,0.00546766973732265,0.00075819592223394,0.0016650378377815,0.00962906930263736,0.0317173973563443,0.000377844445401437,0.0130789942890735,0.0195931007050029,0.010329988519821,0.000432204953554584,0.000575457732233945,0.0983761556294005,0.000468863889020134,0.109458665966421,0.00699840550644597,0.0186884580770372,0.0721977523717817,0.00030308186567828,0.00409156815028212,0.00477122189009851,0.00552157718068549,0.00682855721882622,0.0657001901976894,0.00825190624530774,0.00106376438518678,0.000469468053384787,20
1,2013,0.232834443923482,0.00148213187531429,0.0749471221390483,0.0408950783420751,0.00120990408980838,0.00316366614070732,0.0230485320038953,0.000705875088822035,0.0214110262457779,0.00139620557525209,0.00261846961076901,0.00686285852282349,0.00450721048472718,0.000459352616229595,0.00120136193993342,0.0142746430548861,0.001180170815722,0.00107517589657132,0.00208050587367712,0.000701106102073113,0.00419585533032474,0.0124142484164399,0.00120797655964336,0.00082640035059513,0.00241376439973264,0.00109474820565183,0.0257994333066355,0.0021505854890207,0.000877837871111681,0.000545564169482709,0.0319366827624565,0.0257947320425503,0.004338206082205,0.00062405452667645,0.000830895156934392,0.0518706711747769,0.000676985837232396,0.208446410152741,0.000519006605383457,0.0239531216318204,0.0663692063143241,0.000437615554089635,0.00548975624823957,0.000985032600627638,0.00234772887175706,0.00921477830360898,0.07368568365548,0.000882387686979987,0.00333793217039852,0.000677858181483701,12
1,2014,0.230488152076968,0.0046841008698866,0.0123484818277884,0.0539614412819498,0.0137798123884675,0.0102580732294658,0.013174288501231,0.00125074804511657,0.0870556485857806,0.00838705834206026,0.0121282786131619,0.0204276745123035,0.00198429013629923,0.000813932090629703,0.00363184743497234,0.0231594838229269,0.00209115800237577,0.00307907156420629,0.0182703001508836,0.00296670150740314,0.0104488601852231,0.0279176215552919,0.00246776913402429,0.00146430811819044,0.00427697641147202,0.00193979671445682,0.016001908432901,0.00914418208653436,0.00155545084195348,0.000966691315888296,0.0215181996856138,0.0477144335624729,0.00665819649603631,0.00110576926661241,0.00147227251632693,0.0697991050017546,0.00250892613316312,0.110973295486656,0.00768456185913275,0.00577474026373065,0.00480623303138688,0.000775415944630694,0.00868512596344583,0.00174539039430774,0.00415996731335873,0.0155114013163123,0.0554561710327251,0.0308373565161947,0.00148822586586727,0.00120110457045859,22
1,2015,0.116891789434715,0.000927826325863931,0.00220486782973835,0.134513352139609,0.000757409569952471,0.00198048013168204,0.00214115549441028,0.000441883412055856,0.00411633677799998,0.000874035779550437,0.00100852674568278,0.00231543284348089,0.000701040388877813,0.000287558386194151,0.000752062116284236,0.00342031078215602,0.000738796304216167,0.000673068650899694,0.00130241320145876,0.000438897988473081,0.0164482936887484,0.00194554246596045,0.000756202920759652,0.000517333183204598,0.00151103568569442,0.000685321071838281,0.000477412924703989,0.0013462835972752,0.000549533479593407,0.000341527503270793,0.00110827722308499,0.00234592139991494,0.00208509543590699,0.000390663090288226,0.000520146967673232,0.0196787074355467,0.000423798511106209,0.326082367022279,0.000324902257209689,0.00175106780248975,0.0161405514826377,0.000273950812646677,0.0882476597621916,0.000616638231670666,0.00146969692069075,0.00116165694765654,0.132946762654368,0.102416277401588,0.00052578321116458,0.00042434460553617,1
12,2006,0.00182403643146251,0.0711688888354865,0.00598136739963149,0.0138777687330592,0.00138441399597441,0.00206491234287275,0.0192805845609621,0.0292426575262896,0.0178240983795684,0.000973496422816741,0.011441489441179,0.0150766741759851,0.0014162529687593,0.010987641445188,0.00152319153895553,0.0380280471185566,0.0033359986415038,0.00183221201065795,0.0111009475365341,0.00132809458593757,0.00911362790796136,0.0142157600690368,0.0158118499539395,0.0326842452242295,0.00465381131158602,0.0349909043549295,0.000672942635330617,0.00769811471803845,0.130265078187351,0.00449011302085269,0.00151331317456333,0.0043659061793774,0.00948210180616733,0.0135951002371567,0.266131861124453,0.0260858318790114,0.00299750259268251,0.0803327155267951,0.00131701989652462,0.00895614796130621,0.0134758327914365,0.000269838969876789,0.00202180499192059,0.0138030043848724,0.00324601753843678,0.00722987392294526,0.00584994643266558,0.00571017228393605,0.00389336551881534,0.0154334213124208,108
