doc_id, a_name, avg annotation too long, annotation too long, length of non-highlighted portion too long, not enough words highlighted 
63, 'AUT9J39A2N4LH', 0, 0, 0, 0
63, 'AZBM5GUEV7N77', 0, 0, 0, 0
65, 'A1DJDT4B5B19Q2', 0, 0, 0, 0
65, 'A1G02XK8ZL6F1E', 1, 0, 0, 0
65, 'A24EAYGSHOXEGP', 1, 0, 0, 0
65, 'A7FXMQPKWFFP5', 0, 0, 0, 0
65, 'AG4MMHVYMTXFD', 0, 0, 0, 0
66, 'A1SSBN3C7NEPEO', 0, 0, 0, 0
66, 'A1Z64L5Y143167', 1, 0, 1, 0
66, 'A207IHY6GERCFO', 1, 0, 0, 0
66, 'A2D53MXGGGYMZD', 1, 0, 0, 0
66, 'AJXGV70V3PDOC', 0, 0, 0, 0
68, 'A1JFZ5EX06Y8YV', 0, 0, 0, 0
68, 'A207IHY6GERCFO', 1, 0, 0, 0
68, 'A24EAYGSHOXEGP', 1, 0, 0, 0
68, 'A3HNWWJXMDLM8L', 1, 0, 0, 1
68, 'A3UEAWMRV5YQ6V', 1, 0, 0, 0
68, 'AZBM5GUEV7N77', 0, 1, 0, 0
69, 'A1G02XK8ZL6F1E', 1, 0, 0, 0
69, 'A24EAYGSHOXEGP', 0, 0, 0, 0
69, 'A2HXTXD0IMKUN0', 0, 0, 0, 0
69, 'A2QD7QFGCUNF5N', 1, 0, 1, 1
69, 'A3UEAWMRV5YQ6V', 0, 0, 1, 0
75, 'A16644NV37L66P', 0, 0, 0, 0
75, 'A1SB15LP2XJVVT', 0, 0, 0, 1
75, 'A1YJKLVJW1FE33', 0, 0, 1, 0
75, 'A3FKXJVH0K2E3E', 0, 0, 0, 0
75, 'AZBM5GUEV7N77', 0, 0, 0, 0
78, 'A1G02XK8ZL6F1E', 1, 0, 0, 0
78, 'A1OCJ5QNHY5RAW', 0, 0, 0, 0
78, 'A2JJCR0L7AR2YP', 0, 0, 1, 0
78, 'A2LQ33BQ8G259D', 0, 0, 0, 0
78, 'A2UF2FRGVW4T89', 1, 0, 1, 1
85, 'A1DJDT4B5B19Q2', 0, 0, 0, 0
85, 'A1OF4LT1OZYTDN', 0, 0, 0, 1
85, 'A24EAYGSHOXEGP', 1, 0, 0, 0
85, 'A3A2IFA1WCMOQT', 1, 0, 0, 1
85, 'A7FXMQPKWFFP5', 0, 0, 0, 0
96, 'A207IHY6GERCFO', 1, 0, 0, 0
96, 'A20CGE508BF5IE', 1, 0, 1, 1
96, 'A2D53MXGGGYMZD', 1, 0, 0, 0
96, 'A2D8467K5MUNYA', 1, 0, 0, 0
96, 'AFB9N61OMZXCX', 0, 1, 0, 0
104, 'A1BYZJ3GUK1O5Z', 0, 0, 1, 0
104, 'A207IHY6GERCFO', 0, 0, 0, 0
104, 'A20IF612YY351J', 0, 0, 1, 0
104, 'A24EAYGSHOXEGP', 1, 0, 0, 0
104, 'A2R07W1GEVTICX', 0, 0, 0, 0
104, 'A31A4YKVSOYRVS', 0, 0, 1, 0
104, 'A39UWTSPMRRYWU', 1, 0, 1, 1
110, 'A1SB15LP2XJVVT', 0, 0, 1, 1
110, 'A1YJKLVJW1FE33', 0, 0, 0, 0
110, 'A207IHY6GERCFO', 1, 0, 0, 0
110, 'A2VIJLBSZATX3W', 0, 0, 0, 0
110, 'AZBM5GUEV7N77', 0, 0, 0, 0
113, 'A1JFZ5EX06Y8YV', 0, 0, 0, 0
113, 'A207IHY6GERCFO', 1, 0, 0, 0
113, 'A3UEAWMRV5YQ6V', 1, 0, 1, 1
113, 'A3UHHP4M8SI6OO', 0, 0, 0, 0
113, 'AZBM5GUEV7N77', 0, 0, 0, 0
118, 'A1G02XK8ZL6F1E', 1, 0, 0, 0
118, 'A1JFZ5EX06Y8YV', 0, 0, 0, 0
118, 'A207IHY6GERCFO', 0, 0, 0, 0
118, 'A24EAYGSHOXEGP', 0, 0, 0, 0
118, 'A2R07W1GEVTICX', 0, 0, 0, 0
118, 'A3AFXPGOHL9D23', 0, 0, 0, 0
118, 'AZBM5GUEV7N77', 0, 0, 0, 0
119, 'A18T7E73TNGOKP', 1, 0, 0, 1
119, 'A24EAYGSHOXEGP', 1, 0, 0, 0
119, 'A2IVF94Z51VWEI', 0, 0, 0, 0
119, 'A2R07W1GEVTICX', 0, 0, 1, 0
119, 'A2UF2FRGVW4T89', 1, 0, 0, 1
119, 'AVVZTRF9H0XHH', 0, 0, 0, 0
130, 'A24EAYGSHOXEGP', 1, 0, 0, 0
130, 'A2HXTXD0IMKUN0', 0, 0, 0, 0
130, 'A2QD7QFGCUNF5N', 1, 0, 1, 1
130, 'A39UWTSPMRRYWU', 1, 0, 1, 1
